devenv 2019-11-10 07:54:43,231 INFO     django.utils.autoreload.run_with_reloader: Watching for file changes with StatReloader
devenv 2019-11-10 07:55:21,358 INFO     django.server.log_message: "GET /cam/ HTTP/1.1" 200 0
devenv 2019-11-10 07:55:34,057 INFO     camera.cam: Camera is running now
devenv 2019-11-10 07:55:34,060 INFO     camera.__init__: Intersection is created
devenv 2019-11-10 07:55:34,061 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,061 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,062 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,062 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,063 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,064 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,065 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,067 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,068 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,070 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,071 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,073 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,075 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,078 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,079 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,079 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,080 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,080 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,081 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,081 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,081 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,082 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,083 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,083 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,085 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,085 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,085 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,086 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,087 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,087 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,088 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,089 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,089 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,090 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,091 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,091 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,091 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,092 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,095 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,095 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,096 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,097 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,097 INFO     camera.__init__: Direction is created
devenv 2019-11-10 07:55:34,098 INFO     camera.__init__: Counter is created
devenv 2019-11-10 07:55:34,098 INFO     camera.add_counter: Counter is added
devenv 2019-11-10 07:55:34,098 INFO     camera.__init__: Direction is created
