id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am
1,north,south,north,1992-08-09,16,31,55,54,45
2,south,north,south,1992-08-10,15,39,55,60,43
3,east,west,east,1992-08-11,15,38,55,60,40
4,west,east,west,1992-08-12,12,38,52,55,51
5,north,south,north,1992-08-13,12,33,58,54,46
6,south,north,south,1992-08-14,22,30,57,55,50
7,east,west,east,1992-08-15,23,36,57,57,43
8,west,east,west,1992-08-16,15,37,58,54,37
9,north,south,north,1992-08-17,24,40,49,66,48
10,south,north,south,1992-08-18,21,33,57,55,39
11,east,west,east,1992-08-19,19,42,50,66,45
12,west,east,west,1992-08-20,15,36,51,57,43
13,north,south,north,1992-08-21,12,40,60,64,39
14,south,north,south,1992-08-22,19,34,48,60,50
15,east,west,east,1992-08-23,19,36,59,63,42
16,west,east,west,1992-08-24,17,32,60,56,37
17,north,south,north,1992-08-25,21,31,58,63,45
18,south,north,south,1992-08-26,23,36,50,60,54
19,east,west,east,1992-08-27,18,31,56,61,41
20,west,east,west,1992-08-28,20,39,50,60,43
21,north,south,north,1992-08-29,15,37,58,58,40
22,south,north,south,1992-08-30,21,35,48,66,52
23,east,west,east,1992-08-31,21,37,58,54,42
24,west,east,west,1992-09-01,23,50,68,77,48
25,north,south,north,1992-09-02,18,52,73,81,55
26,south,north,south,1992-09-03,20,49,78,73,55
27,east,west,east,1992-09-04,29,43,65,80,58
28,west,east,west,1992-09-05,19,47,67,87,69
29,north,south,north,1992-09-06,20,40,74,74,53
30,south,north,south,1992-09-07,20,48,66,84,49
31,east,west,east,1992-09-08,27,40,64,77,55
32,west,east,west,1992-09-09,20,52,64,83,56
33,north,south,north,1992-09-10,17,41,65,80,48
34,south,north,south,1992-09-11,26,42,66,81,62
35,east,west,east,1992-09-12,26,44,72,84,68
36,west,east,west,1992-09-13,23,48,79,72,71
37,north,south,north,1992-09-14,30,41,67,84,52
38,south,north,south,1992-09-15,28,53,67,87,57
39,east,west,east,1992-09-16,19,43,74,85,64
40,west,east,west,1992-09-17,29,51,68,72,65
41,north,south,north,1992-09-18,18,41,74,76,72
42,south,north,south,1992-09-19,20,54,74,84,52
43,east,west,east,1992-09-20,22,50,78,84,59
44,west,east,west,1992-09-21,16,53,78,84,52
45,north,south,north,1992-09-22,27,44,65,79,52
46,south,north,south,1992-09-23,22,52,67,86,50
47,east,west,east,1992-09-24,19,49,75,72,48
48,west,east,west,1992-09-25,19,48,71,77,60
49,north,south,north,1992-09-26,20,44,74,87,68
50,south,north,south,1992-09-27,20,48,69,76,60
51,east,west,east,1992-09-28,32,53,78,72,52
52,west,east,west,1992-09-29,31,47,76,84,51
53,north,south,north,1992-09-30,20,50,72,76,52
54,south,north,south,1992-10-01,27,51,98,109,90
55,east,west,east,1992-10-02,24,56,95,110,65
56,west,east,west,1992-10-03,35,53,86,104,88
57,north,south,north,1992-10-04,40,59,86,91,71
58,south,north,south,1992-10-05,38,69,80,108,73
59,east,west,east,1992-10-06,30,58,91,107,69
60,west,east,west,1992-10-07,28,55,88,95,63
61,north,south,north,1992-10-08,40,54,97,98,86
62,south,north,south,1992-10-09,36,57,92,107,72
63,east,west,east,1992-10-10,21,61,89,102,82
64,west,east,west,1992-10-11,29,50,83,96,88
65,north,south,north,1992-10-12,21,66,85,93,75
66,south,north,south,1992-10-13,27,59,84,105,76
67,east,west,east,1992-10-14,34,61,93,108,85
68,west,east,west,1992-10-15,37,70,93,90,60
69,north,south,north,1992-10-16,26,53,91,95,73
70,south,north,south,1992-10-17,30,68,93,96,72
71,east,west,east,1992-10-18,28,50,89,94,83
72,west,east,west,1992-10-19,25,60,82,97,70
73,north,south,north,1992-10-20,27,67,90,96,89
74,south,north,south,1992-10-21,30,58,93,98,63
75,east,west,east,1992-10-22,22,66,87,105,82
